micrograph_id,path,magnification,detector,valPerPx,contributor_key,primary_microconstituent,anneal_temperature,anneal_temp_unit,cool_method,anneal_time_min,anneal_time_hour
1732,micrograph1732.png,unspecified,SE,0.029850746,2,pearlite,700,C,WQ,5,0.083333333
1730,micrograph1730.png,1964X,SE,0.097087379,2,spheroidite,970,C,Q,90,1.5
1726,micrograph1726.png,3437X,SE,0.055555556,2,spheroidite+widmanstatten,970,C,FC,5,0.083333333
1722,micrograph1722.png,1473X,SE,0.12987013,2,spheroidite,970,C,WQ,1440,24
1720,micrograph1720.png,4910X,SE,0.03875969,2,spheroidite,800,C,WQ,180,3
1716,micrograph1716.png,1964X,SE,0.097087379,2,spheroidite,800,C,Q,5100,85
1712,micrograph1712.png,1473X,SE,0.12987013,2,spheroidite,970,C,WQ,1440,24
1710,micrograph1710.png,98x,SE,1.941747573,2,network,970,C,FC,90,1.5
1703,micrograph1703.png,4910x,SE,0.03875969,2,spheroidite,900,C,WQ,90,1.5
1694,micrograph1694.png,4910X,SE,0.03875969,2,spheroidite,970,C,Q,5,0.083333333
1693,micrograph1693.png,982x,SE,0.194174757,2,spheroidite,970,C,Q,1440,24
1689,micrograph1689.png,1964X,SE,0.097087379,2,spheroidite,800,C,WQ,5100,85
1686,micrograph1686.png,4910X,SE,0.03875969,2,spheroidite,970,C,FC,5,0.083333333
1682,micrograph1682.png,982x,SE,0.194174757,2,spheroidite,970,C,Q,480,8
1677,micrograph1677.png,1964X,unspecified,0.097087379,2,spheroidite,970,C,WQ,180,3
1676,micrograph1676.png,1964X,unspecified,0.097087379,2,spheroidite,970,C,Q,180,3
1675,micrograph1675.png,7856X,SE,0.024096386,2,spheroidite+widmanstatten,970,C,FC,5,0.083333333
1672,micrograph1672.png,4910x,SE,0.03875969,2,spheroidite,800,C,WQ,90,1.5
1667,micrograph1667.png,3437X,SE,0.055555556,2,spheroidite,970,C,Q,90,1.5
1662,micrograph1662.png,3437X,SE,0.055555556,2,pearlite+spheroidite,970,C,FC,90,1.5
1651,micrograph1651.png,982x,unspecified,0.194174757,2,spheroidite,970,C,WQ,180,3
1648,micrograph1648.png,982x,SE,0.194174757,2,spheroidite,800,C,Q,1440,24
1645,micrograph1645.png,1964X,SE,0.097087379,2,spheroidite,800,C,WQ,180,3
1644,micrograph1644.png,1964X,SE,0.097087379,2,pearlite+spheroidite,970,C,FC,90,1.5
1640,micrograph1640.png,1473X,SE,0.12987013,2,spheroidite,970,C,FC,90,1.5
1637,micrograph1637.png,982x,SE,0.194174757,2,spheroidite,970,C,Q,1440,24
1634,micrograph1634.png,1964X,SE,0.097087379,2,spheroidite,800,C,Q,5100,85
1633,micrograph1633.png,1964X,unspecified,0.097087379,2,spheroidite,970,C,Q,180,3
1627,micrograph1627.png,98X,SE,1.941747573,2,network,970,C,FC,90,1.5
1626,micrograph1626.png,4910X,SE,0.03875969,2,spheroidite,800,C,WQ,5100,85
1624,micrograph1624.png,4910X,SE,0.03875969,2,spheroidite,800,C,Q,180,3
1623,micrograph1623.png,4910X,SE,0.03875969,2,spheroidite,800,C,WQ,180,3
1613,micrograph1613.png,1964X,SE,0.097087379,2,spheroidite,1100,C,650-1H,60,1
1611,micrograph1611.png,1964X,SE,0.097087379,2,spheroidite,970,C,Q,180,3
1610,micrograph1610.png,638x,unspecified,0.298507463,2,spheroidite+widmanstatten,970,C,WQ,180,3
1608,micrograph1608.png,982x,SE,0.194174757,2,spheroidite,900,C,Q,1440,24
1607,micrograph1607.png,1964X,SE,0.097087379,2,spheroidite,970,C,AR,90,1.5
1605,micrograph1605.png,7856X,SE,0.024096386,2,pearlite,800,C,WQ,5,0.083333333
1603,micrograph1603.png,98x,BSE,1.941747573,2,network,970,C,Q,180,3
1601,micrograph1601.png,491x,SE,0.387596899,2,spheroidite+widmanstatten,970,C,WQ,180,3
1586,micrograph1586.png,982x,SE,0.194174757,2,spheroidite+widmanstatten,970,C,Q,5,0.083333333
1583,micrograph1583.png,98X,SE,1.941747573,2,network,970,C,FC,90,1.5
1581,micrograph1581.png,982x,SE,0.194174757,2,spheroidite,970,C,WC,90,1.5
1580,micrograph1580.png,1964X,SE,0.097087379,2,spheroidite,800,C,WQ,5100,85
1579,micrograph1579.png,1964X,SE,0.097087379,2,spheroidite,900,C,Q,90,1.5
1573,micrograph1573.png,638x,SE,0.298507463,2,spheroidite+widmanstatten,970,C,FC,5,0.083333333
1572,micrograph1572.png,1964X,SE,0.097087379,2,spheroidite,900,C,Q,180,3
1571,micrograph1571.png,1964X,SE,0.097087379,2,spheroidite,970,C,Q,1440,24
1569,micrograph1569.png,1964X,SE,0.097087379,2,spheroidite,970,C,Q,1440,24
1565,micrograph1565.png,79x,SE,2.409638554,2,network,970,C,AR,90,1.5
